Date,Site,PAR
2002-07-01,BP01,17.677997589111328
2002-07-01,BP02,17.85199737548828
2002-07-01,BP03,17.85199737548828
2002-07-01,BP05,17.865997314453125
2002-07-01,BP06,17.74399757385254
2002-07-01,BP08,17.73799705505371
2002-07-01,BP10,17.3279972076416
2002-07-01,BP13,17.697998046875
2002-07-01,BP14,18.209997177124023
2002-07-01,LH01,18.209997177124023
2002-07-01,LH02,18.209997177124023
2002-07-01,LH07,18.56199836730957
2002-07-01,LH10,18.8539981842041
2002-07-01,PB02,17.865997314453125
2002-07-01,PB03,18.72199821472168
2002-07-01,PB10,18.72199821472168
2002-07-01,PB11,17.865997314453125
2002-07-01,PL02,17.677997589111328
2002-07-01,PL03,17.677997589111328
2002-07-01,PL14,17.85199737548828
2002-07-01,PL16,17.85199737548828
2002-08-01,BP01,27.983997344970703
2002-08-01,BP02,28.197998046875
2002-08-01,BP03,28.197998046875
2002-08-01,BP05,28.545997619628906
2002-08-01,BP06,29.299997329711914
2002-08-01,BP08,29.569997787475586
2002-08-01,BP10,29.51999855041504
2002-08-01,BP13,27.671998977661133
2002-08-01,BP14,27.369998931884766
2002-08-01,LH01,27.369998931884766
2002-08-01,LH02,27.369998931884766
2002-08-01,LH07,27.3179988861084
2002-08-01,LH10,27.697998046875
2002-08-01,PB02,28.545997619628906
2002-08-01,PB03,28.861997604370117
2002-08-01,PB10,28.861997604370117
2002-08-01,PB11,28.545997619628906
2002-08-01,PL02,27.983997344970703
2002-08-01,PL03,27.983997344970703
2002-08-01,PL14,28.197998046875
2002-08-01,PL16,28.197998046875
2002-09-01,BP01,40.641998291015625
2002-09-01,BP02,41.39399719238281
2002-09-01,BP03,41.39399719238281
2002-09-01,BP05,41.83799743652344
2002-09-01,BP06,41.827999114990234
2002-09-01,BP08,42.42599868774414
2002-09-01,BP10,41.83599853515625
2002-09-01,BP13,40.47800064086914
2002-09-01,BP14,40.12999725341797
2002-09-01,LH01,40.12999725341797
2002-09-01,LH02,40.12999725341797
2002-09-01,LH07,40.43199920654297
2002-09-01,LH10,39.97800064086914
2002-09-01,PB02,41.83799743652344
2002-09-01,PB03,41.295997619628906
2002-09-01,PB10,41.295997619628906
2002-09-01,PB11,41.83799743652344
2002-09-01,PL02,40.641998291015625
2002-09-01,PL03,40.641998291015625
2002-09-01,PL14,41.39399719238281
2002-09-01,PL16,41.39399719238281
2002-10-01,BP01,46.369998931884766
2002-10-01,BP02,46.76599884033203
2002-10-01,BP03,46.76599884033203
2002-10-01,BP05,47.15399932861328
2002-10-01,BP06,47.753997802734375
2002-10-01,BP08,48.08799743652344
2002-10-01,BP10,47.4379997253418
2002-10-01,BP13,46.70800018310547
2002-10-01,BP14,46.1619987487793
2002-10-01,LH01,46.1619987487793
2002-10-01,LH02,46.1619987487793
2002-10-01,LH07,46.4640007019043
2002-10-01,LH10,47.38399887084961
2002-10-01,PB02,47.15399932861328
2002-10-01,PB03,49.205997467041016
2002-10-01,PB10,49.205997467041016
2002-10-01,PB11,47.15399932861328
2002-10-01,PL02,46.369998931884766
2002-10-01,PL03,46.369998931884766
2002-10-01,PL14,46.76599884033203
2002-10-01,PL16,46.76599884033203
2002-11-01,BP01,48.88800048828125
2002-11-01,BP02,50.2599983215332
2002-11-01,BP03,50.2599983215332
2002-11-01,BP05,51.08399963378906
2002-11-01,BP06,51.07600021362305
2002-11-01,BP08,50.80799865722656
2002-11-01,BP10,50.84000015258789
2002-11-01,BP13,49.986000061035156
2002-11-01,BP14,47.917999267578125
2002-11-01,LH01,47.917999267578125
2002-11-01,LH02,47.917999267578125
2002-11-01,LH07,48.5260009765625
2002-11-01,LH10,48.77000045776367
2002-11-01,PB02,51.08399963378906
2002-11-01,PB03,49.65399932861328
2002-11-01,PB10,49.65399932861328
2002-11-01,PB11,51.08399963378906
2002-11-01,PL02,48.88800048828125
2002-11-01,PL03,48.88800048828125
2002-11-01,PL14,50.2599983215332
2002-11-01,PL16,50.2599983215332
2002-12-01,BP01,50.593997955322266
2002-12-01,BP02,50.417999267578125
2002-12-01,BP03,50.417999267578125
2002-12-01,BP05,50.84000015258789
2002-12-01,BP06,51.44199752807617
2002-12-01,BP08,51.0620002746582
2002-12-01,BP10,51.11000061035156
2002-12-01,BP13,49.63999938964844
2002-12-01,BP14,50.11399841308594
2002-12-01,LH01,50.11399841308594
2002-12-01,LH02,50.11399841308594
2002-12-01,LH07,52.630001068115234
2002-12-01,LH10,51.89999771118164
2002-12-01,PB02,50.84000015258789
2002-12-01,PB03,50.09199905395508
2002-12-01,PB10,50.09199905395508
2002-12-01,PB11,50.84000015258789
2002-12-01,PL02,50.593997955322266
2002-12-01,PL03,50.593997955322266
2002-12-01,PL14,50.417999267578125
2002-12-01,PL16,50.417999267578125
2003-01-01,BP01,48.321998596191406
2003-01-01,BP02,48.29399871826172
2003-01-01,BP03,48.29399871826172
2003-01-01,BP05,48.32999801635742
2003-01-01,BP06,48.7859992980957
2003-01-01,BP08,48.89799880981445
2003-01-01,BP10,47.4640007019043
2003-01-01,BP13,48.507999420166016
2003-01-01,BP14,48.90399932861328
2003-01-01,LH01,48.90399932861328
2003-01-01,LH02,48.90399932861328
2003-01-01,LH07,48.5620002746582
2003-01-01,LH10,48.22200012207031
2003-01-01,PB02,48.32999801635742
2003-01-01,PB03,48.63199996948242
2003-01-01,PB10,48.63199996948242
2003-01-01,PB11,48.32999801635742
2003-01-01,PL02,48.321998596191406
2003-01-01,PL03,48.321998596191406
2003-01-01,PL14,48.29399871826172
2003-01-01,PL16,48.29399871826172
2003-02-01,BP01,34.343997955322266
2003-02-01,BP02,33.86399841308594
2003-02-01,BP03,33.86399841308594
2003-02-01,BP05,33.775997161865234
2003-02-01,BP06,34.19999694824219
2003-02-01,BP08,33.65599822998047
2003-02-01,BP10,32.58599853515625
2003-02-01,BP13,34.6879997253418
2003-02-01,BP14,34.61199951171875
2003-02-01,LH01,34.61199951171875
2003-02-01,LH02,34.61199951171875
2003-02-01,LH07,35.74799728393555
2003-02-01,LH10,35.12199783325195
2003-02-01,PB02,33.775997161865234
2003-02-01,PB03,32.705997467041016
2003-02-01,PB10,32.705997467041016
2003-02-01,PB11,33.775997161865234
2003-02-01,PL02,34.343997955322266
2003-02-01,PL03,34.343997955322266
2003-02-01,PL14,33.86399841308594
2003-02-01,PL16,33.86399841308594
2003-03-01,BP01,18.277997970581055
2003-03-01,BP02,19.01199722290039
2003-03-01,BP03,19.01199722290039
2003-03-01,BP05,19.473997116088867
2003-03-01,BP06,19.619997024536133
2003-03-01,BP08,18.457998275756836
2003-03-01,BP10,18.337997436523438
2003-03-01,BP13,18.407997131347656
2003-03-01,BP14,18.12999725341797
2003-03-01,LH01,18.12999725341797
2003-03-01,LH02,18.12999725341797
2003-03-01,LH07,18.161996841430664
2003-03-01,LH10,18.069997787475586
2003-03-01,PB02,19.473997116088867
2003-03-01,PB03,19.771997451782227
2003-03-01,PB10,19.771997451782227
2003-03-01,PB11,19.473997116088867
2003-03-01,PL02,18.277997970581055
2003-03-01,PL03,18.277997970581055
2003-03-01,PL14,19.01199722290039
2003-03-01,PL16,19.01199722290039
2003-04-01,BP01,11.967997550964355
2003-04-01,BP02,12.647997856140137
2003-04-01,BP03,12.647997856140137
2003-04-01,BP05,13.077997207641602
2003-04-01,BP06,13.151997566223145
2003-04-01,BP08,13.16199779510498
2003-04-01,BP10,12.663997650146484
2003-04-01,BP13,12.393997192382813
2003-04-01,BP14,12.275997161865234
2003-04-01,LH01,12.275997161865234
2003-04-01,LH02,12.275997161865234
2003-04-01,LH07,12.067997932434082
2003-04-01,LH10,11.95799732208252
2003-04-01,PB02,13.077997207641602
2003-04-01,PB03,12.859997749328613
2003-04-01,PB10,12.859997749328613
2003-04-01,PB11,13.077997207641602
2003-04-01,PL02,11.967997550964355
2003-04-01,PL03,11.967997550964355
2003-04-01,PL14,12.647997856140137
2003-04-01,PL16,12.647997856140137
2003-05-01,BP01,10.065997123718262
2003-05-01,BP02,10.44599723815918
2003-05-01,BP03,10.44599723815918
2003-05-01,BP05,10.623997688293457
2003-05-01,BP06,10.545997619628906
2003-05-01,BP08,10.463997840881348
2003-05-01,BP10,10.003997802734375
2003-05-01,BP13,10.591997146606445
2003-05-01,BP14,10.527997016906738
2003-05-01,LH01,10.527997016906738
2003-05-01,LH02,10.527997016906738
